compound,flat_state
Fe2 Ni1 Ti1,1
Cu2 Sr1 Zr1,0
Br2 Cd1 Mn1,0
Pt2 Re1 Tc1,1
As2 In1 P1,1
Li2 Pt1 Zr1,0
Ca2 Cu1 Sr1,1
Ag2 Bi1 P1,1
Al2 In1 K1,0
Be2 Pt1 Tc1,1
Ba2 P1 Sb1,0
Re2 Sb1 Te1,0
Ca2 Hf1 Si1,0
Al2 Co1 Re1,1
Cl2 Cr1 Re1,1
Al2 Ir1 W1,1
Fe2 Sb1 Si1,0
K2 Li1 Mn1,1
Ba2 Rh1 Si1,0
Co2 Ni1 Pb1,1
Nb2 Pd1 Te1,0
Ba2 K1 Sr1,1
Pt2 Sb1 W1,1
Hf2 Mg1 Zr1,0
As2 Pd1 V1,1
Si2 Sr1 Zr1,1
Al2 Tl1 W1,1
Ba2 Nb1 W1,0
Cu2 Ir1 Ti1,1
Ca2 Cu1 Ru1,0
B2 K1 Ru1,0
Hf2 Nb1 Pd1,1
Al2 Ga1 Li1,1
Be2 K1 P1,0
Cr2 Pb1 Zn1,1
Au2 Sn1 W1,1
Ga2 In1 Sn1,1
Ca2 Hg1 Te1,0
Ag2 B1 Fe1,0
Co2 Mg1 Mo1,1
Al2 Bi1 W1,1
Bi2 Mn1 Pt1,1
Al2 Ru1 W1,1
In2 Pt1 V1,1
Ag2 Cu1 Ge1,1
Fe2 In1 Sb1,0
Pd2 Te1 Zr1,1
Ni2 P1 Zr1,1
Ca2 In1 Se1,0
Cl2 Na1 Ta1,1
Re2 Si1 Ti1,1
Co2 Ge1 Na1,1
Cl2 Mo1 Pt1,1
Ga2 Ir1 Mg1,1
Hg2 Se1 Tl1,0
Cr2 Rh1 Sb1,1
Co2 Hg1 Ru1,1
Ca2 Li1 Sn1,0
B2 Cl1 Hf1,1
Ni2 Pd1 V1,1
In2 Nb1 Pd1,0
Bi2 Li1 Se1,1
B2 Cl1 Ta1,1
Mn2 Ru1 Zr1,1
Br2 Hf1 Ti1,1
Ag2 Cd1 Ni1,0
K2 Li1 Rh1,1
Au2 Ge1 Pd1,1
Ga2 Ge1 Se1,1
Bi2 Co1 Ir1,1
Ga2 Rh1 Ti1,1
Be2 P1 Sr1,0
K2 Mn1 Tc1,1
As2 Mo1 Os1,1
As2 Pb1 Re1,1
Hg2 Na1 Nb1,0
Hf2 Na1 Pd1,0
B2 Pd1 Te1,1
Pt2 Sr1 Zn1,0
Mn2 Ti1 W1,1
Br2 Cd1 Os1,0
Nb2 Pd1 Zr1,1
Cr2 Ir1 Ru1,1
Ag2 Hf1 Hg1,0
Cr2 Sb1 Zr1,1
Cl2 Mo1 Re1,0
In2 Os1 Tl1,1
Fe2 Sr1 V1,0
Ag2 Ga1 Hf1,1
Au2 Li1 P1,1
Ga2 Pb1 Ru1,1
Br2 Ga1 Zn1,0
Br2 Li1 Mo1,1
K2 Ti1 Zr1,1
Cl2 Os1 Zr1,1
Br2 K1 Ta1,0
Al2 Pt1 Sn1,1
Hg2 Se1 Ta1,0
Cd2 Sr1 Zr1,0
Hg2 Ir1 Os1,1
Li2 Mo1 Sr1,1
Cd2 K1 Os1,1
Ba2 Co1 Cu1,0
Cr2 Hg1 Se1,1
Ge2 Mg1 Mn1,1
Ga2 Mn1 Tl1,1
Al2 Os1 W1,1
Ca2 Cd1 Rh1,0
Ag2 Pt1 V1,0
P2 Ru1 Ti1,0
Ca2 Mn1 Nb1,0
Be2 Ge1 S1,1
Be2 Cd1 Fe1,0
Na2 Pt1 W1,0
P2 Ti1 Zn1,1
Au2 Be1 Te1,1
Ca2 In1 Os1,0
Fe2 Te1 W1,0
Au2 Ir1 Sb1,1
As2 Cl1 Pd1,1
Sb2 Te1 Zn1,1
Mn2 Ni1 Ru1,1
B2 Ge1 Pt1,1
B2 Na1 Te1,1
As2 Ni1 Rh1,1
Fe2 Se1 Te1,1
Al2 Fe1 Ta1,1
Cl2 Cu1 Ni1,1
As2 Mn1 Te1,1
Al2 In1 Se1,1
Br2 Li1 Zn1,1
Pt2 Ta1 Ti1,1
As2 Cl1 Se1,1
Hf2 Pb1 W1,1
Fe2 Mg1 Sr1,0
Hf2 Nb1 Se1,1
Fe2 Pt1 Sr1,0
Ni2 Pb1 Ta1,1
Ge2 P1 Pb1,1
Ir2 Pt1 Te1,0
Pb2 Se1 Ti1,1
K2 Ru1 Sr1,1
As2 Mg1 Mn1,1
Ir2 Pd1 Tl1,1
Br2 Ca1 Co1,1
Re2 Si1 V1,1
Cd2 P1 Zr1,0
Na2 Pt1 V1,0
Na2 Sb1 Tl1,0
Ag2 Hf1 Re1,1
Re2 Sb1 Ta1,1
Cl2 Ir1 Zr1,1
Ag2 Cl1 Pd1,0
Al2 Pd1 Zr1,1
Au2 Bi1 Fe1,1
Au2 Rh1 Tl1,1
Ca2 Sn1 Tc1,0
Ba2 Be1 Nb1,0
B2 Cr1 Ga1,0
Ag2 Li1 Sn1,0
Re2 Ti1 Tl1,1
Au2 Cd1 Ta1,1
Os2 Pb1 Tl1,1
Ir2 Rh1 Zn1,1
Cr2 Hf1 Li1,0
Al2 Mg1 Sb1,1
Be2 Hg1 Mn1,1
Cr2 Re1 Sb1,0
Cl2 Mn1 Ru1,1
B2 Pd1 Ta1,1
Na2 Nb1 Tl1,0
Hg2 Sb1 Si1,1
Ni2 Pb1 Zr1,1
Hg2 In1 Pt1,1
Bi2 Mn1 Tc1,0
As2 Hg1 W1,1
Fe2 Mn1 Os1,1
Bi2 Cl1 Pd1,1
Cd2 Co1 Sb1,1
Co2 In1 Re1,1
Bi2 Hg1 Sn1,1
Ni2 Ru1 Tc1,1
Fe2 P1 Rh1,1
Cl2 In1 Sr1,1
Hf2 Sr1 Ta1,0
Ag2 Mg1 P1,1
In2 Pb1 Si1,1
Ge2 K1 Rh1,1
Au2 Mo1 Pt1,1
Ca2 Cu1 Ge1,0
Cl2 Co1 Ta1,1
Ba2 Cl1 Fe1,0
Ca2 Co1 Ge1,0
Mn2 Si1 Ti1,1
Cl2 Os1 Rh1,1
Co2 Hg1 Na1,0
Ag2 Re1 W1,1
Li2 Tl1 V1,0
Mo2 P1 Ta1,1
Be2 Ga1 Te1,1
Au2 Hg1 Ir1,1
Fe2 Os1 Te1,0
Fe2 Nb1 Re1,1
Cd2 Cr1 Zr1,0
Al2 Hg1 Pd1,1
Cu2 In1 Sr1,1
Ag2 Sn1 Tl1,0
Ca2 P1 V1,0
Bi2 Ir1 Pt1,1
Au2 Cd1 Na1,0
Br2 Cr1 Pb1,1
Cr2 Li1 Te1,1
Bi2 Pd1 Te1,1
Bi2 Ru1 Sb1,1
Fe2 Mg1 Zn1,0
Be2 Bi1 Ge1,1
Cl2 Cr1 Tc1,1
Ge2 Rh1 Si1,1
Ga2 P1 Si1,1
Rh2 W1 Zn1,1
Tc2 Tl1 Zr1,1
Be2 In1 Re1,1
Cd2 Ir1 Pb1,1
B2 Ti1 W1,1
Br2 Cl1 In1,0
Cd2 Tc1 V1,0
Bi2 Mg1 Tc1,1
Al2 Hg1 Ni1,1
Ba2 P1 Ti1,0
Mo2 Rh1 Se1,1
Mo2 Pd1 Tl1,1
Ba2 Nb1 Pd1,0
As2 B1 Zr1,1
K2 Pb1 Pt1,1
Al2 As1 Nb1,1
Li2 Pb1 Tc1,1
P2 Rh1 Ru1,0
Mo2 Si1 Ta1,1
In2 Ta1 Tc1,1
Co2 Ga1 Hf1,1
Co2 Tc1 Zr1,1
Nb2 Ru1 Zr1,1
Ge2 Pb1 Rh1,1
Na2 Rh1 W1,0
Ge2 Ti1 Zr1,1
Al2 Fe1 Ge1,1
Co2 Hf1 Pt1,1
B2 Mo1 Se1,1
B2 Ir1 Tc1,0
Ag2 Cr1 In1,1
Cd2 Fe1 Tl1,0
As2 Hf1 Rh1,1
Ir2 Mn1 Si1,0
Ag2 Cl1 Mn1,0
Br2 Mo1 Sr1,0
Al2 Cr1 Ir1,1
B2 Ir1 Rh1,0
Mg2 Sr1 Ti1,0
Bi2 Cu1 Zr1,1
Co2 Hf1 P1,1
P2 Sb1 Sn1,1
Ca2 Hf1 Sn1,0
In2 K1 Na1,0
Hg2 K1 Ru1,1
Ge2 Li1 Tl1,1
Cd2 Co1 Tl1,0
Mn2 Ru1 Sn1,1
In2 Li1 Mg1,1
Al2 Au1 Li1,1
Bi2 In1 Tc1,1
Ba2 Cl1 Sn1,1
Ca2 Mo1 W1,0
Au2 Hf1 Pb1,1
Cd2 Cr1 Ga1,0
As2 K1 Tc1,1
Cu2 Ge1 Ir1,1
In2 Mg1 Ni1,1
Cd2 Ga1 Sn1,0
Hf2 Ni1 Sb1,1
As2 Li1 Pd1,1
Co2 Cu1 Ge1,1
Bi2 K1 Tl1,0
Co2 Rh1 Tl1,1
Rh2 Sr1 Te1,1
Cd2 Ti1 V1,0
K2 Pt1 Sr1,1
Bi2 Co1 Se1,1
Au2 Sr1 Te1,0
Co2 Pb1 Zr1,1
Si2 Sn1 W1,1
Hg2 Sn1 V1,0
Cu2 Hf1 Tc1,1
Cl2 Se1 Sn1,0
Pt2 Ru1 Tc1,1
Ca2 Mn1 Os1,0
Cr2 Ge1 Os1,1
Se2 Te1 Zr1,1
Cl2 Fe1 Sb1,1
Br2 Os1 Pt1,1
Co2 Rh1 Sn1,1
Be2 Sn1 V1,1
Be2 Cu1 Os1,1
Br2 Cl1 Ni1,0
Cd2 Sn1 Ti1,0
Au2 Ca1 Nb1,1
Cd2 Ge1 Rh1,0
Br2 Ga1 Se1,1
In2 K1 Tl1,0
Ba2 Be1 Pd1,1
As2 Cl1 Sn1,1
Cu2 Fe1 Si1,1
Fe2 Ir1 Na1,1
Ba2 K1 Mo1,1
Ru2 Sb1 Ti1,0
Bi2 Fe1 Os1,0
Pt2 Rh1 Sn1,1
Ga2 Ir1 Pb1,1
Cu2 Hg1 Nb1,1
Ba2 K1 Rh1,0
Ag2 Mo1 Zr1,0
Os2 Pd1 Zr1,1
Hf2 Ru1 Zn1,1
Ba2 Na1 Sn1,1
Cu2 Fe1 Pb1,1
Cd2 Mn1 Sn1,0
Mo2 Sr1 Zr1,1
Cr2 Cu1 Ge1,1
Mg2 Re1 Rh1,1
Cl2 Mo1 Nb1,0
B2 W1 Zn1,1
Cl2 Hg1 Li1,1
Hf2 Re1 Zn1,1
Au2 Rh1 Sr1,0
Be2 Cl1 Fe1,1
Ir2 Mn1 Pd1,1
Li2 Se1 Tc1,1
Ag2 Cd1 In1,1
Al2 In1 Pt1,1
Li2 Ta1 Zr1,0
Pb2 Rb1 S1,0
Hf2 Ti1 W1,1
Ca2 Ni1 Tl1,0
Bi2 Mn1 Nb1,0
Bi2 Ir1 Ru1,0
Nb2 Te1 Ti1,0
V2 W1 Zn1,1
Mn2 Pt1 V1,1
As2 K1 Os1,1
As2 Rh1 Ta1,1
Mn2 Ru1 Sb1,1
Ge2 K1 Sn1,0
Au2 Fe1 Te1,1
Ba2 Nb1 Sr1,0
Cr2 K1 V1,0
P2 Te1 Tl1,1
Cl2 Ge1 Pd1,1
Cr2 Ir1 K1,1
Ca2 Cd1 Pd1,0
K2 P1 Zr1,1
Cd2 K1 Ta1,1
Cl2 Ni1 P1,1
Cl2 Tc1 W1,0
Co2 Ti1 Zn1,1
P2 Te1 V1,0
Sb2 Sn1 W1,1
Bi2 Sb1 Tc1,1
Ga2 Se1 Ti1,1
Mn2 Mo1 Nb1,0
As2 Ge1 Sn1,1
Ga2 Mo1 Pb1,1
Au2 Cr1 In1,1
K2 Rh1 Ti1,1
Ag2 Hg1 Tc1,0
Na2 Os1 Ru1,0
Cr2 Mn1 Se1,1
Ge2 Pb1 Zr1,1
Li2 Sn1 Ti1,0
Al2 Ca1 Fe1,1
Cu2 Mo1 Zr1,1
Ir2 W1 Zr1,1
Be2 Cu1 Ru1,1
Ir2 Pb1 Tc1,0
Ba2 Cu1 Ge1,0
Co2 Rh1 Ta1,1
Ge2 Mn1 V1,1
Ba2 Pd1 Rh1,0
Bi2 Tc1 V1,0
Ba2 Cu1 Zn1,1
Nb2 Ni1 Pb1,0
Ag2 Rh1 Sr1,0
Ba2 Ca1 Mg1,1
Ba2 V1 Zr1,0
Ge2 Pt1 Rh1,1
Bi2 Hg1 Mo1,1
Co2 Tc1 Tl1,1
K2 Sn1 Zn1,1
Cd2 Ir1 W1,1
Ag2 Ir1 Pt1,1
Cr2 Hf1 Sr1,0
Al2 Nb1 Ta1,1
Ag2 Re1 Rh1,1
Cl2 Se1 V1,0
Mn2 Os1 Tl1,1
Al2 Re1 Sb1,1
Ba2 Hg1 P1,0
Mo2 Ta1 V1,1
Cd2 Ti1 Tl1,0
Ag2 B1 Ru1,1
Ge2 Mg1 V1,1
Cd2 Os1 Sb1,1
Al2 Bi1 Si1,1
Hg2 Mg1 W1,0
Cd2 Re1 Rh1,0
In2 Mn1 Re1,1
Nb2 Os1 Sn1,0
Fe2 Hg1 Re1,1
Pt2 Si1 W1,1
B2 Ir1 Te1,0
Ga2 P1 Sn1,1
Re2 Tl1 W1,1
Br2 Ge1 Na1,0
Cr2 Ni1 Re1,1
Al2 Fe1 Ti1,1
Na2 Te1 Ti1,0
Cd2 Tc1 Ti1,0
Bi2 Pd1 Zr1,1
Bi2 Li1 Mg1,1
Cu2 Ge1 K1,0
Cd2 Rh1 Ta1,0
Bi2 Ge1 Sb1,1
Mo2 P1 Ru1,1
Bi2 Ni1 Sb1,1
As2 Ta1 Te1,1
Ba2 Br1 Pb1,0
Au2 Re1 Ru1,1
Ag2 Sr1 W1,0
As2 Ba1 Re1,1
As2 Pt1 Si1,1
Co2 Mg1 Zn1,0
Br2 Cu1 Ru1,1
Mn2 Ru1 Te1,1
Mn2 V1 Zn1,1
Ag2 Hf1 Zr1,0
Bi2 Na1 Nb1,1
Fe2 Rh1 Ta1,1
K2 Ta1 Zn1,1
Au2 Cu1 Si1,1
Be2 Ni1 Si1,1
B2 Be1 Br1,1
Cl2 Hf1 Ni1,1
Be2 Pt1 Ti1,1
Br2 Rh1 Te1,1
As2 Au1 Se1,1
Ru2 Se1 Tl1,1
Ba2 Ru1 Tl1,0
Br2 K1 Zr1,0
Na2 Sn1 Te1,0
Ir2 Na1 Si1,1
Bi2 Cr1 Mg1,1
As2 Ba1 Fe1,0
Ba2 Nb1 Sb1,0
Cu2 Ni1 W1,1
Ge2 Rh1 Sb1,1
Co2 P1 Sn1,1
K2 Pt1 Tl1,1
Be2 Cr1 Os1,1
Ag2 Mn1 Tc1,1
Br2 Co1 Rh1,1
Au2 In1 Tl1,1
Ag2 As1 Ba1,0
As2 Sb1 Tl1,1
Cr2 Sr1 Te1,1
B2 Ba1 Ge1,0
As2 Au1 Co1,1
Br2 Pt1 Se1,0
Hf2 Mo1 Nb1,1
Cl2 Ge1 Hg1,0
Hg2 Mg1 Tl1,0
Co2 Pd1 Ti1,1
Bi2 Rh1 Zr1,1
Ba2 Mg1 Ru1,0
Ir2 Se1 Te1,0
Al2 Cu1 Sb1,1
Nb2 Pd1 W1,0
Nb2 Sr1 Te1,1
Bi2 Ga1 Ru1,1
Hg2 K1 Pb1,0
Cd2 Sb1 Ta1,1
Bi2 Ca1 Hf1,1
Fe2 P1 Pb1,1
K2 Os1 Zn1,1
Al2 Pd1 V1,1
K2 Pb1 Pd1,1
Ba2 Cd1 Si1,0
Al2 Ni1 Te1,1
Br2 Se1 Zn1,1
Mg2 Tc1 Ti1,1
Hf2 Re1 Ru1,1
Bi2 Co1 Zn1,1
As2 Pt1 Re1,1
Au2 Ni1 Ta1,1
Ag2 Na1 Sn1,0
Ba2 Ge1 Ni1,0
Ba2 Br1 Hf1,0
Be2 Na1 Pt1,0
P2 Tc1 Te1,0
P2 Re1 V1,0
Cu2 K1 Se1,0
Ba2 Mn1 Os1,0
Be2 Co1 K1,1
Li2 Ti1 V1,0
Co2 Te1 V1,0
Bi2 Br1 Ta1,1
Ba2 Ni1 V1,0
Ga2 K1 P1,0
Cl2 Ir1 Os1,1
Ni2 P1 Tc1,0
In2 Li1 P1,1
Be2 Mn1 Rh1,1
Nb2 Os1 Re1,0
Cr2 Fe1 Na1,0
As2 Te1 Zr1,1
Ga2 Sb1 Zn1,1
Pb2 Ru1 Si1,1
B2 Ca1 Tl1,1
Cr2 Ga1 V1,1
Br2 Fe1 Si1,1
Cd2 Ga1 Tl1,0
Ba2 Sb1 Sr1,0
Ba2 Ta1 W1,0
Cd2 Os1 Tc1,0
Cr2 Li1 Os1,1
Ir2 K1 Nb1,1
Fe2 Ru1 Tl1,1
Al2 Li1 Ru1,1
B2 Os1 Ta1,1
Mo2 P1 Zr1,1
Bi2 Ni1 P1,1
Pd2 Re1 Tc1,1
Cd2 Pt1 Ta1,1
As2 K1 Pd1,0
Co2 Tc1 Zn1,1
Cl2 Ru1 Ti1,1
Nb2 Ti1 Zr1,1
Ba2 Ca1 Os1,0
Bi2 Ge1 Si1,1
B2 Ir1 V1,0
Cl2 Nb1 Pd1,0
Fe2 Os1 Pd1,1
Ca2 Pd1 Te1,1
Hg2 K1 Se1,1
Cr2 Li1 Tc1,1
Br2 Ga1 Ge1,1
Co2 K1 Se1,0
Ba2 Ge1 Se1,0
Ir2 Sn1 Ti1,1
As2 Cd1 Ge1,1
Au2 Cd1 Si1,1
Li2 Mo1 Na1,1
Hg2 Tc1 Ti1,1
Ba2 Ga1 Mg1,1
Pt2 Re1 Zn1,1
Fe2 Pt1 Rh1,1
Au2 Pd1 Pt1,0
Cd2 Ge1 Sr1,0
Ni2 Tc1 Zn1,1
As2 Os1 P1,1
Li2 Re1 Sb1,1
B2 Fe1 Sn1,1
Cl2 Ge1 Nb1,0
Cu2 Pb1 Sr1,1
Ga2 Nb1 Zn1,1
Au2 Be1 Zn1,1
Mg2 Pt1 Tl1,1
Fe2 Mg1 Na1,0
Cl2 Cu1 Te1,1
Ba2 Na1 Ru1,0
Pb2 Sn1 Tc1,1
Hf2 Re1 Sr1,0
Al2 Os1 Pd1,1
Mg2 Ta1 W1,1
B2 Ta1 Zn1,1
Hf2 Rh1 V1,1
Cu2 Os1 Sr1,0
Ag2 In1 Zn1,1
Hg2 K1 Si1,1
B2 Pb1 W1,1
Cr2 Ir1 Ta1,1
Bi2 In1 Te1,1
Cl2 Na1 Ni1,0
Ag2 Ru1 W1,1
Au2 Os1 Sr1,0
N2 Na1 Tl1,1
Cr2 Mg1 Zr1,0
Ge2 K1 Tl1,0
Ca2 Co1 Pt1,0
Ag2 Li1 Se1,0
Al2 Mg1 V1,1
Cd2 V1 Zr1,0
Hg2 K1 Mg1,1
Mn2 P1 Sr1,1
Ge2 Mn1 Ta1,1
Sr2 Te1 W1,0
B2 Br1 Fe1,1
Bi2 Co1 Hg1,1
Ag2 Mg1 Na1,0
Ba2 Ca1 Ga1,1
Ge2 Pb1 Tc1,1
Cd2 Rh1 Tc1,0
Co2 Os1 Sr1,0
Ir2 Mn1 Ru1,1
Ag2 Be1 Zn1,0
Au2 Cl1 Ir1,1
Ba2 Ni1 Ru1,0
Ag2 Au1 Sr1,0
Al2 Ni1 Ru1,1
As2 Bi1 Ta1,1
Cd2 Cl1 P1,0
Cl2 K1 W1,0
Ga2 Ni1 Sr1,1
Li2 Pb1 Pt1,1
Ge2 In1 Pd1,1
Cl2 Re1 Sn1,1
As2 Nb1 Se1,1
Li2 Rh1 Ru1,0
Ir2 Re1 Sb1,0
Br2 Mg1 Zr1,1
Bi2 Hg1 V1,1
Ag2 Se1 Tl1,0
As2 Cu1 Se1,1
Fe2 Nb1 Os1,1
Li2 Nb1 Tc1,1
Cl2 Hg1 Nb1,1
Pt2 Re1 Sr1,1
Cd2 Pd1 Tl1,0
Co2 Mn1 Re1,1
Cu2 In1 W1,1
Br2 Mg1 Pt1,1
Ir2 Ti1 W1,1
Cu2 Pd1 Pt1,1
Al2 Br1 Te1,1
Au2 B1 W1,1
Cd2 Cl1 Pt1,0
Pb2 Se1 Zr1,1
Cr2 Ga1 Ge1,1
Ag2 Au1 Pd1,0
Co2 Li1 Sn1,1
Ca2 Fe1 Mo1,0
Al2 Br1 Ta1,1
Ca2 Ga1 Nb1,1
Ag2 Re1 Ti1,1
Nb2 Os1 Ru1,0
Ti2 V1 Zr1,1
In2 Nb1 Tc1,0
Ga2 Ir1 P1,1
Cd2 P1 Ti1,0
Au2 Bi1 P1,1
Mn2 Mo1 P1,0
Pt2 Se1 Ti1,1
As2 Ni1 W1,1
As2 Co1 Ta1,1
Cl2 Ge1 Na1,0
Cr2 Ga1 Pb1,1
Au2 Cl1 Hg1,0
Mo2 Re1 W1,1
Co2 Hf1 Ti1,1
B2 Ba1 Zn1,0
Ga2 Ti1 V1,1
Hf2 Tc1 Zn1,1
Ga2 Sn1 Ti1,1
Ca2 Ta1 V1,0
Bi2 Mn1 Zr1,1
Ga2 Ru1 Ti1,1
Mo2 Ni1 Sn1,1
Co2 Ge1 Nb1,0
Be2 Nb1 Se1,1
Hg2 K1 Mn1,1
Br2 Mo1 Ti1,1
Pt2 Sb1 Zr1,1
Br2 Pd1 Zn1,0
Bi2 Cr1 Ir1,0
Co2 Cu1 V1,1
K2 Mo1 Rh1,1
Br2 Cu1 Li1,1
Bi2 In1 Ta1,1
Fe2 K1 Pb1,0
Co2 Hg1 Os1,1
Re2 Ta1 Ti1,1
In2 Rh1 Se1,1
Ba2 Na1 P1,0
Fe2 Li1 Re1,1
Br2 Pb1 Te1,0
Ag2 Cr1 Ti1,0
Ba2 Sb1 Ta1,0
Be2 Rh1 Ti1,1
Ag2 Br1 Sn1,0
Re2 Te1 Zr1,1
Cl2 Ni1 Tc1,1
As2 Si1 Sn1,1
Pt2 Sb1 Ti1,1
Au2 Cr1 Cu1,1
Al2 P1 Sb1,1
Fe2 Hg1 Ir1,1
Ge2 Pd1 Tl1,1
Ag2 As1 Tl1,0
Ge2 Nb1 Te1,0
Nb2 Pt1 Te1,0
Hg2 K1 Tl1,1
Br2 Ga1 Re1,0
Hg2 Pt1 V1,1
Ca2 Fe1 Sr1,1
Ag2 Be1 Sn1,0
Ir2 K1 Mo1,1
Al2 Co1 Mo1,1
Al2 Ga1 Hf1,1
Bi2 Ir1 W1,0
Cl2 Ni1 Ti1,1
Co2 Pd1 V1,1
Fe2 Nb1 Sr1,1
As2 Mo1 Rh1,1
Br2 Ni1 Os1,1
Li2 Nb1 Zn1,0
Cu2 Ge1 Os1,1
K2 Os1 Pd1,1
Ge2 P1 Se1,1
B2 Cl1 Ge1,1
Ba2 Br1 Cr1,0
Ba2 Bi1 Ge1,0
Mo2 Na1 Os1,1
Na2 Os1 Rh1,0
Au2 B1 Ca1,0
As2 Tc1 Te1,1
In2 Nb1 Sr1,1
Be2 Ca1 Co1,0
Hg2 Nb1 Sb1,1
Ag2 Cl1 Te1,0
Al2 Fe1 Si1,1
Bi2 Ca1 Re1,1
Ca2 Te1 W1,1
B2 Cd1 Se1,1
Ag2 Bi1 Os1,1
Cd2 Os1 Pb1,1
Ga2 In1 Nb1,0
Cl2 P1 Sb1,1
Al2 Ba1 Pd1,0
Ca2 Ge1 Zn1,0
Ag2 Se1 Ta1,1
Nb2 Se1 Tc1,0
Bi2 Ge1 Zn1,1
As2 Ni1 Sn1,1
Bi2 Ni1 Os1,1
Al2 Ga1 Pt1,1
Ca2 Cu1 Rh1,0
Bi2 Ir1 Tl1,1
Mn2 Pb1 Zn1,1
Al2 Co1 In1,1
Au2 K1 Rh1,0
Mg2 Pb1 Ru1,1
Hf2 Re1 Tc1,1
Na2 Nb1 Si1,0
In2 Ru1 Sb1,1
Ca2 Re1 Sn1,0
Ca2 Pb1 Ti1,0
Ir2 Ta1 Zn1,1
Ag2 B1 Pt1,0
Pb2 Ta1 Zr1,1
Be2 K1 Ta1,0
K2 Pb1 Si1,1
Ca2 Cr1 Mn1,0
Al2 Mg1 Mn1,1
Cd2 In1 Sr1,0
Hf2 Ni1 Te1,1
Bi2 Hf1 Sb1,1
Co2 Ni1 Re1,1
In2 Sb1 Sr1,1
Hg2 Mo1 Tc1,1
Ag2 Ba1 Sr1,1
Fe2 Ir1 Re1,1
Ag2 Re1 Sr1,0
Ag2 Hg1 K1,1
Be2 Hf1 Pd1,1
Bi2 Fe1 W1,1
Hf2 Na1 Zr1,0
Ba2 Nb1 Se1,0
Cr2 Mo1 Si1,1
Bi2 Cl1 Os1,1
Cr2 Pb1 Ti1,1
Be2 Cl1 Co1,1
K2 Os1 Ru1,1
Tc2 Te1 Zn1,1
Na2 Sn1 Zn1,1
Br2 Mo1 Ni1,1
As2 Ir1 Pt1,1
Cd2 Ge1 P1,0
Cd2 Hf1 Tc1,0
Ga2 Si1 Tl1,1
Ni2 Si1 Te1,0
B2 Hg1 Pt1,1
B2 Br1 W1,1
Cu2 Mg1 Mo1,1
Ge2 Ni1 Pb1,1
Nb2 W1 Zn1,1
Bi2 Cl1 K1,0
Mo2 Nb1 Tc1,0
In2 Sr1 Ta1,1
Ag2 Bi1 Pb1,1
Au2 Br1 Tc1,1
Mn2 P1 Te1,1
Ti2 V1 W1,1
Rh2 Tl1 V1,1
B2 Cl1 Re1,1
Ga2 Ge1 Pb1,1
Be2 Rh1 Zn1,1
Cd2 Mo1 Ni1,0
Cr2 Ga1 Se1,1
Au2 Tl1 Zr1,1
Br2 Mo1 Pb1,1
Hf2 Mo1 Ni1,1
Au2 Cu1 Na1,0
Ba2 Mo1 Te1,0
B2 Mo1 Re1,1
As2 Se1 Sn1,1
In2 V1 Zn1,1
Cr2 Re1 Ti1,1
Ba2 Ir1 K1,0
Pb2 Sb1 W1,1
Sb2 Sn1 Tl1,1
Hg2 Tl1 W1,0
Mo2 Tl1 V1,1
Li2 Sb1 Si1,1
Au2 Se1 V1,1
Hf2 Hg1 Tc1,1
Ba2 Br1 Cd1,0
Mn2 Pd1 Ti1,1
Ag2 Cu1 Ti1,0
As2 Mn1 Ta1,1
Fe2 K1 Zn1,1
Ag2 Hg1 In1,1
Bi2 Os1 Sb1,1
As2 Sb1 Zr1,1
Co2 Ir1 Pb1,1
Au2 Rh1 Ti1,1
Ag2 Be1 In1,1
Ca2 Ga1 Sb1,1
Pd2 Rh1 Zn1,0
Ba2 Pt1 Re1,0
Cl2 Pb1 V1,1
Bi2 Hg1 Na1,1
Hf2 Hg1 Mn1,1
Al2 Cr1 Hf1,1
Fe2 Hg1 Tc1,1
Ca2 Pd1 Se1,0
Ir2 Nb1 Pd1,1
As2 Ni1 Sb1,1
Ir2 Tc1 Te1,0
Au2 Rh1 Sb1,1
Be2 Bi1 Na1,0
Pd2 Ru1 Si1,1
Re2 Rh1 Zn1,1
As2 Co1 Ir1,1
Ge2 Pb1 Ti1,1
Co2 Re1 Si1,1
As2 Ba1 Br1,0
B2 Cu1 Pt1,0
Be2 Mn1 Os1,1
K2 Mn1 Nb1,1
Ag2 Mg1 Zr1,0
Be2 Cd1 Hg1,0
Cr2 Cu1 Sr1,0
Ir2 Mo1 Ru1,1
Cu2 Re1 Tl1,1
Cu2 K1 Pb1,0
As2 Ge1 Zn1,1
Au2 Hg1 Mo1,1
Mn2 Ni1 Te1,1
Ge2 Pb1 Ru1,1
Be2 Cr1 Pb1,1
As2 Na1 Pb1,0
Cl2 Rh1 Se1,1
Ba2 Hf1 Si1,0
Hf2 Ir1 Se1,1
Mn2 Re1 Sr1,1
Cd2 Mn1 Tl1,0
Ag2 Al1 Ni1,1
Ni2 Rh1 Si1,1
Fe2 Hf1 Pt1,1
Mn2 Pb1 Se1,1
As2 Ba1 W1,1
Mg2 Ni1 Rh1,1
Br2 Cl1 Hg1,1
Re2 W1 Zr1,1
Cd2 In1 Ta1,1
Li2 Se1 Sr1,0
Ge2 Te1 Zr1,1
Au2 Se1 Tl1,1
B2 Pb1 Si1,1
Ca2 Mg1 Sb1,0
Al2 Ni1 Sb1,1
